No.                      TimeTemperature°C
779              2020/4/5 7:49:49      21.3
780              2020/4/5 7:50:19      21.3
781              2020/4/5 7:50:49      21.3
782              2020/4/5 7:51:19      21.3
783              2020/4/5 7:51:49      21.3
784              2020/4/5 7:52:19      21.3
785              2020/4/5 7:52:49      21.3
786              2020/4/5 7:53:19      21.3
787              2020/4/5 7:53:49      21.3
788              2020/4/5 7:54:19      21.3
789              2020/4/5 7:54:49      21.3
790              2020/4/5 7:55:19      21.3
791              2020/4/5 7:55:49      21.3
792              2020/4/5 7:56:19      21.3
793              2020/4/5 7:56:49      21.3
794              2020/4/5 7:57:19      21.3
795              2020/4/5 7:57:49      21.3
796              2020/4/5 7:58:19      21.3
797              2020/4/5 7:58:49      21.3
798              2020/4/5 7:59:19      21.3
799              2020/4/5 7:59:49      21.3
800              2020/4/5 8:00:19      21.3
801              2020/4/5 8:00:49      21.3
802              2020/4/5 8:01:19      21.3
803              2020/4/5 8:01:49      21.3
804              2020/4/5 8:02:19      21.3
805              2020/4/5 8:02:49      21.3
806              2020/4/5 8:03:19      21.3
807              2020/4/5 8:03:49      21.3
808              2020/4/5 8:04:19      21.3
809              2020/4/5 8:04:49      21.3
810              2020/4/5 8:05:19      21.3
811              2020/4/5 8:05:49      21.3
812              2020/4/5 8:06:19      21.3
813              2020/4/5 8:06:49      21.3
814              2020/4/5 8:07:19      21.3
815              2020/4/5 8:07:49      21.3
816              2020/4/5 8:08:19      21.3
817              2020/4/5 8:08:49      21.3
818              2020/4/5 8:09:19      21.3
819              2020/4/5 8:09:49      21.3
820              2020/4/5 8:10:19      21.3
821              2020/4/5 8:10:49      21.3
822              2020/4/5 8:11:19      21.3
823              2020/4/5 8:11:49      21.3
824              2020/4/5 8:12:19      21.3
825              2020/4/5 8:12:49      21.3
826              2020/4/5 8:13:19      21.3
827              2020/4/5 8:13:49      21.3
828              2020/4/5 8:14:19      21.3
829              2020/4/5 8:14:49      21.3
830              2020/4/5 8:15:19      21.3
831              2020/4/5 8:15:49      21.3
832              2020/4/5 8:16:19      21.3
833              2020/4/5 8:16:49      21.3
834              2020/4/5 8:17:19      21.3
835              2020/4/5 8:17:49      21.3
836              2020/4/5 8:18:19      21.3
837              2020/4/5 8:18:49      21.3
838              2020/4/5 8:19:19      21.3
839              2020/4/5 8:19:49      21.3
840              2020/4/5 8:20:19      21.3
841              2020/4/5 8:20:49      21.3
842              2020/4/5 8:21:19      21.3
843              2020/4/5 8:21:49      21.3
844              2020/4/5 8:22:19      21.3
845              2020/4/5 8:22:49      21.3
846              2020/4/5 8:23:19      21.3
